Model,Row,Col,Angle,Force,Success
LSTM (Visible),0,1,90,0.0,1
LSTM (Visible),0,1,90,0.0,1
LSTM (Visible),0,1,90,0.0,1
LSTM (Visible),0,1,90,0.0,1
LSTM (Visible),0,1,90,0.0,1
LSTM (Visible),0,1,90,0.0,1
LSTM (Visible),0,1,90,0.0,1
LSTM (Visible),0,1,90,0.0,0
LSTM (Visible),0,1,90,5.0,0
LSTM (Visible),0,1,90,5.0,0
LSTM (Visible),0,1,90,5.0,0
LSTM (Visible),0,1,90,5.0,0
LSTM (Visible),0,1,90,5.0,0
LSTM (Visible),0,1,90,5.0,0
LSTM (Visible),0,1,90,5.0,0
LSTM (Visible),0,1,90,5.0,0
LSTM (Visible),0,1,90,5.0,1
LSTM (Visible),0,1,90,5.0,0
LSTM (Visible),0,1,90,10.0,0
LSTM (Visible),0,1,90,10.0,0
LSTM (Visible),0,1,90,10.0,0
LSTM (Visible),0,1,90,10.0,0
LSTM (Visible),0,1,90,10.0,0
LSTM (Visible),0,1,90,10.0,0
LSTM (Visible),0,1,90,10.0,0
LSTM (Visible),0,1,90,10.0,0
LSTM (Visible),0,1,90,10.0,0
LSTM (Visible),0,1,90,10.0,0
LSTM (Visible),0,1,90,15.0,0
LSTM (Visible),0,1,90,15.0,0
LSTM (Visible),0,1,90,15.0,0
LSTM (Visible),0,1,90,15.0,0
LSTM (Visible),0,1,90,15.0,0
LSTM (Visible),0,1,90,15.0,0
LSTM (Visible),0,1,90,15.0,0
LSTM (Visible),0,1,90,15.0,0
LSTM (Visible),0,1,90,15.0,0
LSTM (Visible),0,1,90,15.0,0
LSTM (Visible),0,1,135,0.0,1
LSTM (Visible),0,1,135,0.0,1
LSTM (Visible),0,1,135,0.0,1
LSTM (Visible),0,1,135,0.0,1
LSTM (Visible),0,1,135,0.0,0
LSTM (Visible),0,1,135,0.0,1
LSTM (Visible),0,1,135,0.0,1
LSTM (Visible),0,1,135,0.0,1
LSTM (Visible),0,1,135,0.0,1
LSTM (Visible),0,1,135,0.0,1
LSTM (Visible),0,1,135,5.0,0
LSTM (Visible),0,1,135,5.0,1
LSTM (Visible),0,1,135,5.0,0
LSTM (Visible),0,1,135,5.0,0
LSTM (Visible),0,1,135,5.0,0
LSTM (Visible),0,1,135,5.0,0
LSTM (Visible),0,1,135,5.0,0
LSTM (Visible),0,1,135,5.0,0
LSTM (Visible),0,1,135,5.0,0
LSTM (Visible),0,1,135,5.0,0
LSTM (Visible),0,1,135,10.0,0
LSTM (Visible),0,1,135,10.0,0
LSTM (Visible),0,1,135,10.0,0
LSTM (Visible),0,1,135,10.0,0
LSTM (Visible),0,1,135,10.0,0
LSTM (Visible),0,1,135,10.0,0
LSTM (Visible),0,1,135,10.0,0
LSTM (Visible),0,1,135,10.0,0
LSTM (Visible),0,1,135,10.0,0
LSTM (Visible),0,1,135,10.0,0
LSTM (Visible),0,1,135,15.0,0
LSTM (Visible),0,1,135,15.0,0
LSTM (Visible),0,1,135,15.0,0
LSTM (Visible),0,1,135,15.0,0
LSTM (Visible),0,1,135,15.0,0
LSTM (Visible),0,1,135,15.0,0
LSTM (Visible),0,1,135,15.0,0
LSTM (Visible),0,1,135,15.0,0
LSTM (Visible),0,1,135,15.0,0
LSTM (Visible),0,1,135,15.0,0
LSTM (Visible),0,1,180,0.0,0
LSTM (Visible),0,1,180,0.0,1
LSTM (Visible),0,1,180,0.0,0
LSTM (Visible),0,1,180,0.0,1
LSTM (Visible),0,1,180,0.0,1
LSTM (Visible),0,1,180,0.0,1
LSTM (Visible),0,1,180,0.0,1
LSTM (Visible),0,1,180,0.0,1
LSTM (Visible),0,1,180,0.0,1
LSTM (Visible),0,1,180,0.0,1
LSTM (Visible),0,1,180,5.0,0
LSTM (Visible),0,1,180,5.0,0
LSTM (Visible),0,1,180,5.0,0
LSTM (Visible),0,1,180,5.0,0
LSTM (Visible),0,1,180,5.0,0
LSTM (Visible),0,1,180,5.0,0
LSTM (Visible),0,1,180,5.0,1
LSTM (Visible),0,1,180,5.0,1
LSTM (Visible),0,1,180,5.0,0
LSTM (Visible),0,1,180,5.0,0
LSTM (Visible),0,1,180,10.0,0
LSTM (Visible),0,1,180,10.0,0
LSTM (Visible),0,1,180,10.0,0
LSTM (Visible),0,1,180,10.0,0
LSTM (Visible),0,1,180,10.0,0
LSTM (Visible),0,1,180,10.0,0
LSTM (Visible),0,1,180,10.0,0
LSTM (Visible),0,1,180,10.0,0
LSTM (Visible),0,1,180,10.0,0
LSTM (Visible),0,1,180,10.0,0
LSTM (Visible),0,1,180,15.0,0
LSTM (Visible),0,1,180,15.0,0
LSTM (Visible),0,1,180,15.0,0
LSTM (Visible),0,1,180,15.0,0
LSTM (Visible),0,1,180,15.0,0
LSTM (Visible),0,1,180,15.0,0
LSTM (Visible),0,1,180,15.0,0
LSTM (Visible),0,1,180,15.0,0
LSTM (Visible),0,1,180,15.0,0
LSTM (Visible),0,1,180,15.0,0
LSTM (Visible),0,1,225,0.0,1
LSTM (Visible),0,1,225,0.0,1
LSTM (Visible),0,1,225,0.0,1
LSTM (Visible),0,1,225,0.0,0
LSTM (Visible),0,1,225,0.0,1
LSTM (Visible),0,1,225,0.0,1
LSTM (Visible),0,1,225,0.0,1
LSTM (Visible),0,1,225,0.0,0
LSTM (Visible),0,1,225,0.0,1
LSTM (Visible),0,1,225,0.0,0
LSTM (Visible),0,1,225,5.0,1
LSTM (Visible),0,1,225,5.0,1
LSTM (Visible),0,1,225,5.0,0
LSTM (Visible),0,1,225,5.0,1
LSTM (Visible),0,1,225,5.0,1
LSTM (Visible),0,1,225,5.0,0
LSTM (Visible),0,1,225,5.0,0
LSTM (Visible),0,1,225,5.0,0
LSTM (Visible),0,1,225,5.0,0
LSTM (Visible),0,1,225,5.0,0
LSTM (Visible),0,1,225,10.0,0
LSTM (Visible),0,1,225,10.0,1
LSTM (Visible),0,1,225,10.0,0
LSTM (Visible),0,1,225,10.0,0
LSTM (Visible),0,1,225,10.0,0
LSTM (Visible),0,1,225,10.0,0
LSTM (Visible),0,1,225,10.0,0
LSTM (Visible),0,1,225,10.0,0
LSTM (Visible),0,1,225,10.0,0
LSTM (Visible),0,1,225,10.0,0
LSTM (Visible),0,1,225,15.0,0
LSTM (Visible),0,1,225,15.0,0
LSTM (Visible),0,1,225,15.0,0
LSTM (Visible),0,1,225,15.0,0
LSTM (Visible),0,1,225,15.0,0
LSTM (Visible),0,1,225,15.0,0
LSTM (Visible),0,1,225,15.0,0
LSTM (Visible),0,1,225,15.0,0
LSTM (Visible),0,1,225,15.0,0
LSTM (Visible),0,1,225,15.0,0
LSTM (Visible),0,1,270,0.0,1
LSTM (Visible),0,1,270,0.0,1
LSTM (Visible),0,1,270,0.0,1
LSTM (Visible),0,1,270,0.0,1
LSTM (Visible),0,1,270,0.0,1
LSTM (Visible),0,1,270,0.0,1
LSTM (Visible),0,1,270,0.0,1
LSTM (Visible),0,1,270,0.0,0
LSTM (Visible),0,1,270,0.0,1
LSTM (Visible),0,1,270,0.0,1
LSTM (Visible),0,1,270,5.0,0
LSTM (Visible),0,1,270,5.0,1
LSTM (Visible),0,1,270,5.0,1
LSTM (Visible),0,1,270,5.0,1
LSTM (Visible),0,1,270,5.0,1
LSTM (Visible),0,1,270,5.0,1
LSTM (Visible),0,1,270,5.0,1
LSTM (Visible),0,1,270,5.0,1
LSTM (Visible),0,1,270,5.0,0
LSTM (Visible),0,1,270,5.0,1
LSTM (Visible),0,1,270,10.0,0
LSTM (Visible),0,1,270,10.0,1
LSTM (Visible),0,1,270,10.0,1
LSTM (Visible),0,1,270,10.0,0
LSTM (Visible),0,1,270,10.0,1
LSTM (Visible),0,1,270,10.0,0
LSTM (Visible),0,1,270,10.0,1
LSTM (Visible),0,1,270,10.0,1
LSTM (Visible),0,1,270,10.0,0
LSTM (Visible),0,1,270,10.0,1
LSTM (Visible),0,1,270,15.0,0
LSTM (Visible),0,1,270,15.0,0
LSTM (Visible),0,1,270,15.0,0
LSTM (Visible),0,1,270,15.0,0
LSTM (Visible),0,1,270,15.0,0
LSTM (Visible),0,1,270,15.0,0
LSTM (Visible),0,1,270,15.0,0
LSTM (Visible),0,1,270,15.0,0
LSTM (Visible),0,1,270,15.0,0
LSTM (Visible),0,1,270,15.0,0
LSTM (Visible),0,1,315,0.0,1
LSTM (Visible),0,1,315,0.0,0
LSTM (Visible),0,1,315,0.0,0
LSTM (Visible),0,1,315,0.0,1
LSTM (Visible),0,1,315,0.0,1
LSTM (Visible),0,1,315,0.0,0
LSTM (Visible),0,1,315,0.0,1
LSTM (Visible),0,1,315,0.0,1
LSTM (Visible),0,1,315,0.0,1
LSTM (Visible),0,1,315,0.0,1
LSTM (Visible),0,1,315,5.0,0
LSTM (Visible),0,1,315,5.0,0
LSTM (Visible),0,1,315,5.0,0
LSTM (Visible),0,1,315,5.0,1
LSTM (Visible),0,1,315,5.0,0
LSTM (Visible),0,1,315,5.0,1
LSTM (Visible),0,1,315,5.0,0
LSTM (Visible),0,1,315,5.0,1
LSTM (Visible),0,1,315,5.0,1
LSTM (Visible),0,1,315,5.0,0
LSTM (Visible),0,1,315,10.0,0
LSTM (Visible),0,1,315,10.0,0
LSTM (Visible),0,1,315,10.0,0
LSTM (Visible),0,1,315,10.0,0
LSTM (Visible),0,1,315,10.0,0
LSTM (Visible),0,1,315,10.0,0
LSTM (Visible),0,1,315,10.0,0
LSTM (Visible),0,1,315,10.0,0
LSTM (Visible),0,1,315,10.0,0
LSTM (Visible),0,1,315,10.0,0
LSTM (Visible),0,1,315,15.0,0
LSTM (Visible),0,1,315,15.0,0
LSTM (Visible),0,1,315,15.0,0
LSTM (Visible),0,1,315,15.0,0
LSTM (Visible),0,1,315,15.0,0
LSTM (Visible),0,1,315,15.0,0
LSTM (Visible),0,1,315,15.0,0
LSTM (Visible),0,1,315,15.0,0
LSTM (Visible),0,1,315,15.0,0
LSTM (Visible),0,1,315,15.0,0
PPO (Latent),1,0,0,0.0,0
PPO (Latent),1,0,0,0.0,0
PPO (Latent),1,0,0,0.0,0
PPO (Latent),1,0,0,0.0,0
PPO (Latent),1,0,0,0.0,0
PPO (Latent),1,0,0,0.0,0
PPO (Latent),1,0,0,0.0,0
PPO (Latent),1,0,0,0.0,0
PPO (Latent),1,0,0,0.0,0
PPO (Latent),1,0,0,0.0,0
PPO (Latent),1,0,0,5.0,0
PPO (Latent),1,0,0,5.0,0
PPO (Latent),1,0,0,5.0,0
PPO (Latent),1,0,0,5.0,0
PPO (Latent),1,0,0,5.0,0
PPO (Latent),1,0,0,5.0,0
PPO (Latent),1,0,0,5.0,0
PPO (Latent),1,0,0,5.0,0
PPO (Latent),1,0,0,5.0,0
PPO (Latent),1,0,0,5.0,0
PPO (Latent),1,0,0,10.0,0
PPO (Latent),1,0,0,10.0,0
PPO (Latent),1,0,0,10.0,0
PPO (Latent),1,0,0,10.0,0
PPO (Latent),1,0,0,10.0,0
PPO (Latent),1,0,0,10.0,0
PPO (Latent),1,0,0,10.0,0
PPO (Latent),1,0,0,10.0,0
PPO (Latent),1,0,0,10.0,0
PPO (Latent),1,0,0,10.0,0
PPO (Latent),1,0,0,15.0,0
PPO (Latent),1,0,0,15.0,0
PPO (Latent),1,0,0,15.0,0
PPO (Latent),1,0,0,15.0,0
PPO (Latent),1,0,0,15.0,0
PPO (Latent),1,0,0,15.0,0
PPO (Latent),1,0,0,15.0,0
PPO (Latent),1,0,0,15.0,0
PPO (Latent),1,0,0,15.0,0
