#{"t_start": 1768914618.9225135, "env_id": "LunarLander-v3"}
r,l,t,impact_vel
576.732452,70,344.801792,0.8624941
395.84851,58,345.36336,1.0472165
981.967436,120,345.483446,0.07798544
408.300132,56,345.993995,1.0895877
494.915557,59,346.050604,0.21658221
337.86594,55,346.10255,0.019981556
752.130518,82,346.647178,9.113524e-06
713.249384,78,346.721692,6.3394663e-09
792.160828,80,346.796568,0.0626476
412.935162,54,347.304881,0.7952331
601.270565,68,347.369669,0.017877923
510.100322,78,347.443126,0.11678281
642.071982,71,347.970217,0.42723605
464.718262,57,348.02467,0.5662664
557.94922,68,348.088893,0.0040780944
559.217485,65,348.608742,0.213965
439.81461,58,348.663584,4.377881e-08
706.610685,81,348.740028,0.33453104
851.401193,90,349.282823,0.32602197
495.276835,64,349.343265,0.00036413493
778.780122,83,349.878327,0.13982998
530.815369,77,349.950521,0.112069674
616.154185,69,350.01597,0.05259799
391.606368,56,350.525833,0.9371647
533.94421,62,350.584836,0.02117856
551.582274,65,350.64652,0.7661238
541.04291,63,350.706529,0.24098888
641.690117,72,351.234003,0.0005868027
438.556576,59,351.290083,0.71293
466.573196,58,351.346241,0.32344148
814.35147,83,351.892977,0.4034459
703.608413,78,351.967064,0.77726895
483.460647,59,352.481715,0.17138132
537.161432,75,352.552973,0.12746148
442.462194,62,352.611279,0.69592106
514.841999,62,353.127856,0.0024145623
625.135119,72,353.196194,0.50299394
459.819935,59,353.252415,5.5739067e-05
632.100911,76,353.781702,0.697056
832.699315,88,353.867043,0.13619956
565.302742,65,353.930917,0.5108163
478.831024,65,354.458425,0.5495418
418.149635,59,354.513952,2.6399285e-08
483.933532,59,354.569143,0.13670757
453.035423,57,355.081081,0.5391446
837.123003,86,355.16195,0.083765455
770.113006,82,355.239036,1.1076305
549.900044,66,355.759943,0.5685616
983.464838,90,355.844798,0.4603017
541.184649,68,355.909337,0.7342699
771.146425,80,356.44327,0.007743197
642.700874,75,356.515168,0.010465124
788.262811,82,357.057363,0.2672884
404.245432,60,357.113329,0.9290077
